nodeid,markers
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=99.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=500],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=1234.56],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=99999.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[B qty=1],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[B qty=2],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[B qty=3],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[B qty=7],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[B qty=99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[C line_disc=0%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[C line_disc=10%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[C line_disc=33.33%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[C line_disc=50%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[C line_disc=100%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[D cart_pct=0%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[D cart_pct=10%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[D cart_pct=15.5%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[D cart_pct=33.33%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[D cart_pct=100%],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=0],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=1],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=0.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=899.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[E cart_flat=900],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=10 flat=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=10 flat=100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=10 flat=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=25 flat=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=25 flat=100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=25 flat=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=50 flat=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=50 flat=100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[F pct=50 flat=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=10 cart=10],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=10 cart=25],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=10 cart=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=20 cart=10],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=20 cart=25],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=20 cart=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=50 cart=10],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=50 cart=25],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[G line=50 cart=50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H 2 services],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H 3 services],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H service + product],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H svc + prod qty],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H 2 svc + 2 prod],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H 5 mixed lines],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H mixed + line discs],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H mixed + cart pct],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H mixed + everything],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H all products],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H one paisa line],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[H big and small],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=0.03],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=0.07],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=16.66],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=1.11],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=9.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=49.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=101.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=666.67],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[I round p=1.005],P1|arithmetic|journey|module_billing|parametrize
